vehicle_id,initial_location_x,initial_location_y,path,speed,computing_power,current_location_x,current_location_y
0,336.5542148887265,655.7226353807422,"[(336.5542148887265, 655.7226353807422), (311.4133093912942, 979.5105286215086), (38.963132310233625, 618.2538843378928), (677.1683423829818, 573.3670416719333), (38.963132310233625, 618.2538843378928), (820.6394757439554, 625.9396701015728), (636.4035974460113, 800.9492946823997), (566.0372104940762, 158.64644764249104), (336.5542148887265, 655.7226353807422)]",13.570893241086672,3.610984431407499,336.5542148887265,655.7226353807422
1,615.8511643899138,943.8916045607572,"[(615.8511643899138, 943.8916045607572), (91.79906581344189, 94.15698826856011), (346.3043210894008, 464.6738129396114), (214.58911970837414, 377.25908322797585), (336.5542148887265, 655.7226353807422), (206.6843598767454, 273.96112732113374), (336.5542148887265, 655.7226353807422), (385.39662096556503, 681.6136689727897), (933.436308079483, 501.0398839152592), (636.4035974460113, 800.9492946823997)]",23.361702731412922,1.8199371816632839,615.8511643899138,943.8916045607572
2,214.58911970837414,377.25908322797585,"[(214.58911970837414, 377.25908322797585), (346.3043210894008, 464.6738129396114), (128.50035323391018, 811.204176736003), (820.6394757439554, 625.9396701015728), (933.436308079483, 501.0398839152592), (385.39662096556503, 681.6136689727897), (615.8511643899138, 943.8916045607572), (311.4133093912942, 979.5105286215086), (949.1457315913859, 886.6803872980475), (615.8511643899138, 943.8916045607572)]",22.858511272285064,3.815784540554038,214.58911970837414,377.25908322797585
3,657.1113285001668,435.67289867789106,"[(657.1113285001668, 435.67289867789106), (820.4268437712681, 651.484771857788), (615.8511643899138, 943.8916045607572), (385.39662096556503, 681.6136689727897), (311.4133093912942, 979.5105286215086), (949.1457315913859, 886.6803872980475), (38.963132310233625, 618.2538843378928), (677.1683423829818, 573.3670416719333), (336.5542148887265, 655.7226353807422)]",26.613090131304993,2.3807685795251023,657.1113285001668,435.67289867789106
4,39.18632667564626,417.9460317155788,"[(39.18632667564626, 417.9460317155788), (615.8511643899138, 943.8916045607572), (949.1457315913859, 886.6803872980475)]",15.889315190838353,4.793813227848627,39.18632667564626,417.9460317155788
5,206.6843598767454,273.96112732113374,"[(206.6843598767454, 273.96112732113374), (39.18632667564626, 417.9460317155788), (649.7736826427633, 48.058924197033726), (39.18632667564626, 417.9460317155788), (336.5542148887265, 655.7226353807422), (206.6843598767454, 273.96112732113374)]",29.707346244834692,2.8842618107752576,206.6843598767454,273.96112732113374
6,636.4035974460113,800.9492946823997,"[(636.4035974460113, 800.9492946823997), (91.79906581344189, 94.15698826856011), (311.4133093912942, 979.5105286215086), (336.5542148887265, 655.7226353807422)]",20.83268429321734,3.533912879304589,636.4035974460113,800.9492946823997
7,175.33026988933852,17.161101831750237,"[(175.33026988933852, 17.161101831750237), (636.4035974460113, 800.9492946823997), (933.436308079483, 501.0398839152592)]",26.69860473598598,4.9376087228142085,175.33026988933852,17.161101831750237
8,385.39662096556503,681.6136689727897,"[(385.39662096556503, 681.6136689727897), (311.4133093912942, 979.5105286215086), (615.8511643899138, 943.8916045607572), (949.1457315913859, 886.6803872980475), (649.7736826427633, 48.058924197033726), (128.50035323391018, 811.204176736003), (649.7736826427633, 48.058924197033726)]",20.59323357310162,4.260217713609828,385.39662096556503,681.6136689727897
9,346.3043210894008,464.6738129396114,"[(346.3043210894008, 464.6738129396114), (120.16464780564218, 341.8796667164016), (730.0393165618185, 47.71612769164879), (539.3774484000626, 683.963769398141), (730.0393165618185, 47.71612769164879), (38.963132310233625, 618.2538843378928), (336.5542148887265, 655.7226353807422), (348.33660445319737, 936.6481518557073)]",14.128425435212064,1.043983314633922,346.3043210894008,464.6738129396114
