task_id,size_mb,cpu_cycles,deadline_ms,data_in_size,data_out_size,divisible,priority,dependencies
9660,0.5524111209059753,58084855,211,0.5524111209059753,0.10288098246742348,True,2,[]
5871,0.5778411249854227,83658865,321,0.5778411249854227,0.08026473750451764,True,4,[]
8909,0.3138737895931597,54244181,247,0.3138737895931597,0.04546332356419658,False,3,[]
886,0.8347886858974455,150123816,160,0.8347886858974455,0.10537522264638337,False,3,[]
4150,0.6318036488694176,105989128,106,0.6318036488694176,0.08012152186259866,True,4,[]
1832,0.1865588959822787,36202187,259,0.1865588959822787,0.023816612851275013,False,3,[]
6511,0.4069597159452327,45313886,469,0.4069597159452327,0.07390425190318636,True,4,[]
2408,0.25745943438634256,51032794,306,0.25745943438634256,0.022945911492811163,False,2,[]
4199,0.907494182157994,172461833,353,0.907494182157994,0.09152484355114014,False,4,[]
1000,0.8619950280144754,160014230,261,0.8619950280144754,0.15788776307350386,False,1,[]
3173,0.2454658426851524,46603020,342,0.2454658426851524,0.012611926438051846,True,3,[]
8748,0.9762974530797855,125348877,222,0.9762974530797855,0.11993039327500143,False,1,[]
4057,0.3018423785145038,51680824,194,0.3018423785145038,0.02982503175476944,False,4,[]
5579,0.769753470750906,132469947,223,0.769753470750906,0.1011310073612899,False,2,[]
9990,0.3386821309135529,42131706,489,0.3386821309135529,0.03690438280278878,False,3,[]
7217,0.49095492895938575,66282764,358,0.49095492895938575,0.07380948107663744,False,4,[]
493,0.7502069037353548,96084426,109,0.7502069037353548,0.1101460110706878,True,4,[]
5869,0.5229500625918486,66914616,453,0.5229500625918486,0.08480044007120538,False,1,[]
4408,0.4853657334855829,95454685,485,0.4853657334855829,0.08637152067773708,True,1,[]
2029,0.2718199280353114,34479674,294,0.2718199280353114,0.028786554010747097,False,2,[]
524,0.7264268170074757,114053453,138,0.7264268170074757,0.10333500216952472,False,2,[]
9068,0.3287472841627649,42582326,229,0.3287472841627649,0.05828704774300685,True,2,[]
4012,0.42354203609777963,54789052,423,0.42354203609777963,0.07264466330276464,False,1,[]
6804,0.17343476236021632,17433399,351,0.17343476236021632,0.013725816662031931,True,2,[]
5238,0.816213402492491,154264769,235,0.816213402492491,0.08679404607848829,True,3,[]
8366,0.7048235217656794,93611324,162,0.7048235217656794,0.13904485899516972,False,2,[]
7135,0.1274502249451445,13221026,429,0.1274502249451445,0.013258467987907425,True,1,[]
6833,0.8450821034088298,107455816,486,0.8450821034088298,0.10021809585925774,False,4,[]
414,0.5782191684113333,89082475,354,0.5782191684113333,0.09188694749693566,False,4,[]
9583,0.7431355937619569,77365432,259,0.7431355937619569,0.0854814832976258,False,2,[]
4767,1.10140297366183,271236828,885,1.10140297366183,0.2634499094028891,True,4,[]
8658,4.660854910505922,905302192,467,4.660854910505922,0.5535914480587394,True,7,[]
1709,2.1197355877837714,520366529,816,2.1197355877837714,0.446990361446491,False,5,[]
1865,1.9909239580046298,369510047,830,1.9909239580046298,0.20482366407091263,True,7,[]
7191,1.3766279530742405,249364219,985,1.3766279530742405,0.18593570541736687,True,4,[]
4187,2.9664635004673294,585423197,421,2.9664635004673294,0.5540473664631332,True,4,[]
2640,4.796582926365543,1144791039,482,4.796582926365543,0.49434019196710094,False,3,[]
899,3.15750979360025,689588699,731,3.15750979360025,0.9118203764595539,False,6,[]
4677,3.343102325093853,815793939,702,3.343102325093853,0.5938485890758919,False,3,[]
8280,4.244816706944012,985068921,738,4.244816706944012,1.1209939853475257,False,5,[]
9469,1.7831645391571858,279842942,370,1.7831645391571858,0.18481495658382824,True,5,[]
4731,2.346216859554906,505779279,569,2.346216859554906,0.5544643823248978,True,5,[]
1067,2.1274190990935997,344251475,787,2.1274190990935997,0.4803469148049249,False,6,[]
5203,2.671784126862315,659284254,683,2.671784126862315,0.4934630010554832,True,5,[]
3080,4.962020568002693,949044825,560,4.962020568002693,1.2667174728934,True,7,[]
827,8.578952896855103,2299026213,1687,8.578952896855103,1.2666586356458571,True,6,[]
2598,12.578785586717856,3555340243,1184,12.578785586717856,3.510797494507595,True,9,[]
1858,19.378122453247975,5517228848,1225,19.378122453247975,5.646013188396101,True,9,[]
4645,13.601568321849292,3579711365,1338,13.601568321849292,2.1577821009756053,True,8,[]
4330,8.190918425363435,2413203916,1737,8.190918425363435,1.0049677023945924,False,7,[]
