vehicle_id,initial_location_x,initial_location_y,path,speed,computing_power,current_location_x,current_location_y
0,590.8929431882418,677.5643618422824,"[(590.8929431882418, 677.5643618422824), (971.7820827209607, 962.4472949421113), (186.51851039985422, 40.77514155476392), (971.7820827209607, 962.4472949421113), (278.64646423661145, 908.2658859666537), (251.78229582536414, 497.2485058923854), (174.36642900499143, 690.9377381024659), (226.49577519793795, 645.1727904094498), (16.58782892785615, 512.093058299281), (535.7746840747585, 90.28977005440831)]",16.155544795420987,4.265542940852249,590.8929431882418,677.5643618422824
1,728.2163486118595,367.7831327192532,"[(728.2163486118595, 367.7831327192532), (242.05527151150042, 672.1355474058786), (16.58782892785615, 512.093058299281), (300.8783098167697, 284.8404943774676), (16.58782892785615, 512.093058299281), (226.49577519793795, 645.1727904094498), (877.339353380981, 257.9416277151556)]",24.08159536198447,1.851856646035643,728.2163486118595,367.7831327192532
2,502.67902322886147,51.47875124998935,"[(502.67902322886147, 51.47875124998935), (242.05527151150042, 672.1355474058786), (278.64646423661145, 908.2658859666537), (761.6196153287176, 237.63754399239966), (278.64646423661145, 908.2658859666537), (251.78229582536414, 497.2485058923854), (502.67902322886147, 51.47875124998935), (386.7353463005374, 936.7299887367345), (174.36642900499143, 690.9377381024659), (36.88694735453279, 609.5643339798969)]",11.820041821026606,3.905588130600913,502.67902322886147,51.47875124998935
3,659.9840460341791,817.2222002012159,"[(659.9840460341791, 817.2222002012159), (278.64646423661145, 908.2658859666537), (386.7353463005374, 936.7299887367345), (174.36642900499143, 690.9377381024659), (835.302495589238, 320.78006497173584), (174.36642900499143, 690.9377381024659), (386.7353463005374, 936.7299887367345), (502.67902322886147, 51.47875124998935)]",27.247274174934905,4.7980824946305685,659.9840460341791,817.2222002012159
4,300.8783098167697,284.8404943774676,"[(300.8783098167697, 284.8404943774676), (703.0189588951779, 363.629602379294), (36.88694735453279, 609.5643339798969), (703.0189588951779, 363.629602379294)]",15.164887765979167,2.8365430249530452,300.8783098167697,284.8404943774676
5,971.7820827209607,962.4472949421113,"[(971.7820827209607, 962.4472949421113), (590.8929431882418, 677.5643618422824), (971.7820827209607, 962.4472949421113), (590.8929431882418, 677.5643618422824), (36.88694735453279, 609.5643339798969), (174.36642900499143, 690.9377381024659), (703.0189588951779, 363.629602379294), (113.47352124058906, 924.6936182785628)]",12.560916779155448,1.6076107740491774,971.7820827209607,962.4472949421113
6,137.52094414599324,341.0663510502585,"[(137.52094414599324, 341.0663510502585), (502.67902322886147, 51.47875124998935), (489.452760277563, 985.6504541106007), (278.64646423661145, 908.2658859666537), (251.78229582536414, 497.2485058923854), (535.7746840747585, 90.28977005440831), (877.339353380981, 257.9416277151556), (278.64646423661145, 908.2658859666537), (502.67902322886147, 51.47875124998935), (226.49577519793795, 645.1727904094498)]",13.378701261443291,2.1143613561278345,137.52094414599324,341.0663510502585
7,137.52094414599324,341.0663510502585,"[(137.52094414599324, 341.0663510502585), (239.56189066697243, 144.89487209122308), (300.8783098167697, 284.8404943774676), (16.58782892785615, 512.093058299281), (300.8783098167697, 284.8404943774676), (761.6196153287176, 237.63754399239966), (278.64646423661145, 908.2658859666537)]",27.884345257918515,1.5149935931985756,137.52094414599324,341.0663510502585
8,632.3058305935795,633.5297107608947,"[(632.3058305935795, 633.5297107608947), (489.452760277563, 985.6504541106007), (502.67902322886147, 51.47875124998935), (251.78229582536414, 497.2485058923854), (877.339353380981, 257.9416277151556)]",22.558007789818156,1.3270361277954876,632.3058305935795,633.5297107608947
9,761.6196153287176,237.63754399239966,"[(761.6196153287176, 237.63754399239966), (590.8929431882418, 677.5643618422824), (703.0189588951779, 363.629602379294), (36.88694735453279, 609.5643339798969), (535.7746840747585, 90.28977005440831), (971.7820827209607, 962.4472949421113), (36.88694735453279, 609.5643339798969), (728.2163486118595, 367.7831327192532), (877.339353380981, 257.9416277151556)]",29.725139917336303,3.14636258394933,761.6196153287176,237.63754399239966
